player_id,league,appearances,matches_started,minutes_played,goals,assists,expected_goals,expected_assists,rating,total_shots,shots_on_target,yellow_cards,red_cards,tackles,interceptions,saves
1518983,Serie A,6,6,540,0,0,,0.00542681,7.1666666666667,0,0,1,0,0,0,13
253367,Serie A,22,21,1722,7,4,5.6319,2.93862686,7.0545454545455,34,18,2,1,26,20,0
826198,Serie A,31,29,2299,8,3,6.9112,1.04280873,6.5225806451613,62,26,2,1,8,1,0
932643,Serie A,33,28,2199,5,8,3.0018,3.61093342,6.8757575757576,61,21,3,0,21,7,0
788061,Serie A,25,13,1319,4,1,6.429,0.56539458,6.648,34,9,2,1,8,3,0
1031548,Serie A,26,8,953,2,1,2.1004,1.17431867,6.68,13,4,4,0,33,7,0
949780,Serie A,13,1,229,0,0,0.6169,0.04782746,6.4818181818182,6,1,1,0,5,2,0
44241,Serie A,29,27,2364,1,1,0.3266,1.0451755,6.9586206896552,10,4,6,1,42,20,0
1134351,Serie A,30,29,2428,6,0,4.6773,1.6175834,7,20,10,3,1,26,13,0
924973,Serie A,27,22,2008,3,3,4.2813,1.62076299,6.8518518518519,35,12,7,0,36,26,0
1823916,Serie A,4,1,115,0,1,0.0427,0.07152247,6.775,2,0,0,0,5,1,0
989371,Serie A,15,9,690,0,0,0.1463,0.16390463,6.5533333333333,3,1,2,0,15,0,0
1155625,Serie A,19,9,899,2,4,0.8818,1.29702517,6.7736842105263,14,6,3,0,13,3,0
1154898,Serie A,19,8,785,0,0,0.6696,0.2697241,6.5368421052632,10,2,2,0,23,10,0
882592,Serie A,2,2,135,0,0,0.245,0.02305369,6.45,2,0,0,0,2,2,0
1013239,Serie A,15,1,269,1,0,0.4292,0.11607778,6.55,3,1,3,0,6,3,0
933641,Serie A,32,32,2879,0,0,0.1879,0.60520939,6.63125,5,0,3,0,28,41,0
1118177,Serie A,28,28,2475,2,2,1.4311,0.36270996,6.8642857142857,19,5,6,0,41,38,0
989894,Serie A,16,6,728,0,0,0.1061,0.23485245,6.60625,4,1,2,0,14,6,0
886243,Serie A,31,30,2585,0,1,0.2202,2.01736642,6.6967741935484,7,0,7,0,47,24,0
989276,Serie A,29,21,1851,0,0,0.6824,1.01900205,6.6035714285714,11,4,5,0,33,23,0
558320,Serie A,8,6,568,1,1,0.0565,0.89449919,6.9375,1,1,2,0,12,5,0
1485292,Serie A,1,0,1,0,0,,4.541e-05,0,0,0,0,0,0,0,0
892430,Serie A,12,5,512,0,0,0.2222,0.02800867,6.5666666666667,3,0,2,0,9,2,0
356032,Serie A,5,4,315,0,0,0.0391,0.02575332,6.76,2,0,0,0,1,5,0
888971,Serie A,31,31,2790,0,0,,0.07638398,7.1709677419355,0,0,4,0,0,0,117
893752,Serie A,2,2,180,0,0,,0.01059785,6.7,0,0,0,0,0,0,4
864898,Serie A,29,25,2011,5,6,5.1506,2.94228689,6.7964285714286,62,19,8,0,24,4,0
1138856,Serie A,20,3,649,2,0,1.029,0.41143073,6.7263157894737,9,4,2,0,8,2,0
796455,Serie A,13,4,424,0,1,1.2807,0.10167598,6.375,12,1,0,0,2,0,0
830858,Serie A,27,25,1903,10,3,9.1406,1.8008503,7.0444444444444,45,22,5,0,11,2,0
1536811,Serie A,14,0,258,0,0,0.7691,0.05855476,6.4785714285714,12,3,2,0,3,1,0
1444690,Serie A,27,24,2119,3,3,2.7978,2.07820141,6.862962962963,48,17,3,0,23,18,0
825271,Serie A,29,17,1510,1,1,2.166,0.66149934,6.6896551724138,32,6,2,0,41,15,0
1154894,Serie A,19,6,720,0,1,0.3547,0.36569635,6.6722222222222,8,1,3,0,16,6,0
904887,Serie A,29,25,2044,5,2,4.5862,1.70583719,6.8310344827586,29,14,1,0,43,15,0
351434,Serie A,22,18,1528,0,1,0.6474,1.17865387,6.6863636363636,16,5,4,0,28,21,0
922928,Serie A,19,16,1290,1,2,0.1005,1.05747883,6.8263157894737,3,1,1,0,25,7,0
964119,Serie A,15,12,1018,0,1,0.4649,0.95434291,6.6533333333333,5,1,3,0,29,7,0
227894,Serie A,33,33,2913,1,0,0.7842,1.03053993,6.7333333333333,18,2,5,0,51,34,0
